"year","plantid","plot","umbel.no","no.seeds","seed.notes","in.seed","phen.umbels","phen.julis","in.phen"
2021,"3649_5",5,,,,FALSE,1,"118",TRUE
2021,"3697_5",5,,,,FALSE,1,"132",TRUE
2021,"3810_5",5,,,,FALSE,1,"118",TRUE
2021,"3833_5",5,1,17,";;",TRUE,1,"118",TRUE
2021,"3896_5",5,,,,FALSE,1,"132",TRUE
2021,"5021_5",5,,,,FALSE,1,"111",TRUE
2021,"5036_5",5,,,,FALSE,1,"118",TRUE
2021,"5045_5",5,1,36,";;",TRUE,1,"118",TRUE
2021,"3070_6",6,1,92,";;",TRUE,3,"111; 132; 132",TRUE
2021,"3070_6",6,3,0,"dead;;",TRUE,3,"111; 132; 132",TRUE
2021,"3070_6",6,2,12,";;",TRUE,3,"111; 132; 132",TRUE
2021,"3136_6",6,,,,FALSE,2,"118; 125",TRUE
2021,"3140_6",6,,,,FALSE,1,"118",TRUE
2021,"3141_6",6,2,0,"dead;;",TRUE,3,"118; 118; 125",TRUE
2021,"3141_6",6,3,0,"dead;;",TRUE,3,"118; 118; 125",TRUE
2021,"3141_6",6,1,142,";;",TRUE,3,"118; 118; 125",TRUE
2021,"3173_6",6,,,,FALSE,1,"118",TRUE
2021,"3319_6",6,,,,FALSE,4,"125; 125; 132; 132",TRUE
2021,"3345_6",6,,,,FALSE,3,"118; 125; 125",TRUE
2021,"3358_6",6,,,,FALSE,3,"118; 125; 132",TRUE
2021,"3360_6",6,,,,FALSE,2,"132; 132",TRUE
2021,"3372_6",6,,,,FALSE,3,"125; 125; 139",TRUE
2021,"3400_6",6,,,,FALSE,1,"132",TRUE
2021,"3454_6",6,,,,FALSE,1,"125",TRUE
2021,"3456_6",6,,,,FALSE,1,"118",TRUE
2021,"3466_6",6,1,10,";;",TRUE,1,"118",TRUE
2021,"3489_6",6,,,,FALSE,1,"125",TRUE
2021,"3518_6",6,,,,FALSE,2,"118; 125",TRUE
2021,"3630_6",6,,,,FALSE,1,"118",TRUE
2021,"3643_6",6,,,,FALSE,2,"118; 118",TRUE
2021,"3648_6",6,,,,FALSE,2,"125; 125",TRUE
2021,"3669_6",6,,,,FALSE,2,"125; 125",TRUE
2021,"3725_6",6,,,,FALSE,1,"132",TRUE
2021,"3729_6",6,,,,FALSE,2,"132; 139",TRUE
2021,"3733_6",6,,,,FALSE,1,"132",TRUE
2021,"3743_6",6,,,,FALSE,1,"132",TRUE
2021,"3748_6",6,2,0,"dead;;",TRUE,2,"111; 125",TRUE
2021,"3748_6",6,1,0,"dead;;",TRUE,2,"111; 125",TRUE
2021,"3753_6",6,1,72,"54 green, 18 brown. brown seeds were rotten;;",TRUE,1,"132",TRUE
2021,"3773_6",6,,,,FALSE,1,"132",TRUE
2021,"3777_6",6,,,,FALSE,1,"132",TRUE
2021,"3887_6",6,,,,FALSE,3,"132; 132; 160",TRUE
2021,"3916_6",6,1,38,"6 green, 32 brown. brown seeds were rotten;; fixed tag mistakenly enterd as 3928",TRUE,1,"132",TRUE
2021,"3089_7",7,,,,FALSE,1,"118",TRUE
2021,"3298_7",7,2,0,"dead;;",TRUE,2,"118; 118",TRUE
2021,"3298_7",7,1,36,";;",TRUE,2,"118; 118",TRUE
2021,"3450_7",7,,,,FALSE,1,"111",TRUE
2021,"3453_7",7,2,0,"dead;;",TRUE,2,"104; 118",TRUE
2021,"3453_7",7,1,28,";;",TRUE,2,"104; 118",TRUE
2021,"3866_7",7,,,,FALSE,1,"118",TRUE
