"Year","tagplot","finalid.phen","n.phen.umbel","n.lost.umbel","mean.bud.day","plantid","finalid.demo","n.demo.umbels","No.leaves","Leaf.length","Plot","trt","prev.umbels","prev.leaves","prev.length","cur.size","prev.flwd","finalid.seed","no.seeds"
2022,"3354_15","3354_15",7,2,130,"3354_15_11B","3354_15_11B",7,11,14,15,"drought",1,4,11.5,5.03695260241363,TRUE,"3354_15",30
2022,"3354_15","3354_15",7,2,130,"3354_15_11B","3354_15_11B",7,11,14,15,"drought",1,4,11.5,5.03695260241363,TRUE,"3354_15",44
2022,"3354_15","3354_15",7,2,130,"3354_15_11B","3354_15_11B",7,11,14,15,"drought",1,4,11.5,5.03695260241363,TRUE,"3354_15",68
2022,"3357_13","3357_13",1,0,137,"3357_13_16J","3357_13_16J",1,3,13,13,"control",1,4,11,3.66356164612965,TRUE,"3357_13",18
2022,"3358_13","3358_13",3,2,130,"3358_13_16A","3358_13_16A",3,5,10,13,"control",0,3,19,3.91202300542815,FALSE,"3358_13",0
2022,"3358_13","3358_13",3,2,130,"3358_13_16A","3358_13_16A",3,5,10,13,"control",0,3,19,3.91202300542815,FALSE,"3358_13",0
2022,"3358_13","3358_13",3,2,130,"3358_13_16A","3358_13_16A",3,5,10,13,"control",0,3,19,3.91202300542815,FALSE,"3358_13",80
2022,"3358_6","3358_6",5,1,132.8,"3358_6_12D","3358_6_12D",4,6,23,6,"irrigated",3,7,14.5,4.9272536851572,TRUE,"3358_6",0
2022,"3358_6","3358_6",5,1,132.8,"3358_6_12D","3358_6_12D",4,6,23,6,"irrigated",3,7,14.5,4.9272536851572,TRUE,"3358_6",122
2022,"3358_6","3358_6",5,1,132.8,"3358_6_12D","3358_6_12D",4,6,23,6,"irrigated",3,7,14.5,4.9272536851572,TRUE,"3358_6",32
2022,"3358_6","3358_6",5,1,132.8,"3358_6_12D","3358_6_12D",4,6,23,6,"irrigated",3,7,14.5,4.9272536851572,TRUE,"3358_6",120
2022,"3358_6","3358_6",5,1,132.8,"3358_6_12D","3358_6_12D",4,6,23,6,"irrigated",3,7,14.5,4.9272536851572,TRUE,"3358_6",182
2022,"3360_14","3360_14",4,3,114.25,"3360_14_8D","3360_14_8D",3,4,22,14,"drought",1,2,16.5,4.47733681447821,TRUE,"3360_14",0
2022,"3360_14","3360_14",4,3,114.25,"3360_14_8D","3360_14_8D",3,4,22,14,"drought",1,2,16.5,4.47733681447821,TRUE,"3360_14",0
2022,"3360_14","3360_14",4,3,114.25,"3360_14_8D","3360_14_8D",3,4,22,14,"drought",1,2,16.5,4.47733681447821,TRUE,"3360_14",82
