"size.pre","size.cur","trt","p.size.cur","perturb.param"
0.7,2.8,"control",0.0028233190613109,"flow_int"
0.7,2.8,"drought",0.00537569975733544,"flow_int"
0.7,2.8,"irrigated",0.00251265963791583,"flow_int"
0.7,2.9,"control",0.00183789883599277,"flow_int"
0.7,2.9,"drought",0.00406468569738652,"flow_int"
0.7,2.9,"irrigated",0.00150804620402507,"flow_int"
0.7,3,"control",0.00110314315159603,"flow_int"
0.7,3,"drought",0.00283378933883474,"flow_int"
0.7,3,"irrigated",0.000834534432325598,"flow_int"
0.7,3.1,"control",0.000610507174060735,"flow_int"
0.7,3.1,"drought",0.00182161579295764,"flow_int"
0.7,3.1,"irrigated",0.000425816514155275,"flow_int"
0.7,3.2,"control",0.000311528868868258,"flow_int"
0.7,3.2,"drought",0.00107967894357858,"flow_int"
0.7,3.2,"irrigated",0.000200331558045824,"flow_int"
0.7,3.3,"control",0.000146573160591961,"flow_int"
0.7,3.3,"drought",0.000590039530048698,"flow_int"
0.7,3.3,"irrigated",8.69010182018513e-05,"flow_int"
0.7,3.4,"control",6.35856675841925e-05,"flow_int"
0.7,3.4,"drought",0.000297314584222349,"flow_int"
0.7,3.4,"irrigated",3.47575366489397e-05,"flow_int"
0.7,3.5,"control",2.54338816368424e-05,"flow_int"
0.7,3.5,"drought",0.00013813379581762,"flow_int"
0.7,3.5,"irrigated",1.28180435184047e-05,"flow_int"
0.7,3.6,"control",9.38025585744215e-06,"flow_int"
0.7,3.6,"drought",5.91741879664269e-05,"flow_int"
0.7,3.6,"irrigated",4.35856093558932e-06,"flow_int"
0.7,3.7,"control",3.18981393537338e-06,"flow_int"
0.7,3.7,"drought",2.3372937393753e-05,"flow_int"
0.7,3.7,"irrigated",1.36651099526431e-06,"flow_int"
0.7,3.8,"control",1.00014886313196e-06,"flow_int"
0.7,3.8,"drought",8.5122214333328e-06,"flow_int"
0.7,3.8,"irrigated",3.9503153549368e-07,"flow_int"
0.7,3.9,"control",2.89142923781162e-07,"flow_int"
0.7,3.9,"drought",2.8583878524558e-06,"flow_int"
0.7,3.9,"irrigated",1.0529288642512e-07,"flow_int"
0.7,4,"control",7.70742165514468e-08,"flow_int"
0.7,4,"drought",8.85009699398985e-07,"flow_int"
0.7,4,"irrigated",2.58770594589243e-08,"flow_int"
0.7,4.1,"control",1.89432415687727e-08,"flow_int"
0.7,4.1,"drought",2.52652460098598e-07,"flow_int"
0.7,4.1,"irrigated",5.86380398324866e-09,"flow_int"
0.7,4.2,"control",4.29287362919537e-09,"flow_int"
0.7,4.2,"drought",6.65039835835538e-08,"flow_int"
0.7,4.2,"irrigated",1.22515938911479e-09,"flow_int"
0.7,4.3,"control",8.96996067089236e-10,"flow_int"
0.7,4.3,"drought",1.61406275903716e-08,"flow_int"
