Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,
2022,4,2230,10,J,4,22.5,3,36.5,SOS,2021,,,,,
2022,4,3103,11,O,1,24,0,NA,NA,2017,,,,,
2022,4,3555,11,T,4,20,1,46,4,2016,,,,,
2022,4,3750,12,P,2,23,1,55,8,2021,,,,,
2022,4,3342,14,N,1,9.5,0,NA,NA,2016,,,,,
2022,4,3563,15,R,4,22,1,63,5.5,2016,,,,,
2022,4,3182,16,H,5,27,2,62,SOS,2019,,,,,
2022,4,3321,16,L,5,29.5,2,58,SOS,2021,next to 3732,,,,
2022,4,3735,16,M,6,26.5,3,54.5,SOS,2021,next to 3735,,,,
2022,4,3732,16,M,2,33.5,0,NA,NA,2021,,,,,
2022,4,3634,18,O,14,24.5,6,53,SOS,2016,,,,,
2022,4,3090,18,P,1,17.5,0,NA,NA,2016,,,,,
2022,5,3490,0,F,7,23.5,0,NA,NA,2019,,,,,
2022,5,3788,0,F,4,24,1,33.5,4,2020,,,,,
2022,5,3024,0,H,1,17.5,0,NA,NA,2016,,,,,
2022,5,3328,0,H,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,5,3467,0,H,5,21,0,NA,NA,2018,,,,,
2022,5,3195,1,A,4,25,0,NA,NA,?,,,,,
2022,5,3152,1,G,3,21,1,25,3.5,2017,,,,,
2022,5,5027,1,H,2,26,0,NA,NA,2021,,,,,
2022,5,3108,1,I,4,19.5,1,27,3.5,2017,, ,,,
2022,5,3105,1,J,4,17,0,NA,NA,2016,,,,,
2022,5,3468,1,J,3,30,0,NA,NA,2018,,,,,
2022,5,3148,2,C,2,19.5,1,27.5,4,2017,,,,,
2022,5,3161,2,F,4,13,3,24,SOS,2017,,,,,
2022,5,3499,2,G,3,19,2,18,SOS,2019,,,,,
2022,5,5029,2,H,1,10,0,NA,NA,2021,next to 3998,,,,
2022,5,3508,2,I,2,21,0,NA,NA,2017,,,,,
2022,5,3197,3,A,7,14,4,29,SOS,2016,,,,,
2022,5,3464,3,A,0,NA,NA,NA,NA,2018,NP. Tag pulled,1,,,
2022,5,3193,3,B,6,20.5,1,25,2.5,2016,,,,,
2022,5,3560,3,B,4,14,1,28,4,2017,"nex to 3820, close to 3D",,,,
2022,5,3194,3,C,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,5,3820,3,C,3,21,1,26,4,2017,,,,,
2022,5,5026,3,D,2,14,2,27,SOS,2021,,,,,
2022,5,3479,3,G,3,14.5,2,34.5,SOS,2019,,,,,
2022,5,3469,3,H,0,NA,NA,NA,NA,2018,"NP in 2020, tag pulled in 2022",1,,,
2022,5,3987,3,H,2,14,1,26,4,2016,,,1,,
2022,5,3998,3,H,1,22,0,NA,NA,2016,,,,,
2022,5,3125,3,I,2,18,1,28,4,2017,,,,,
2022,5,3338,3,I,3,15,2,23,SOS,2017,,,,,
2022,5,3877,3,J,3,21,1,18.5,3,2016,,,,,
2022,5,3199,4,B,5,18,2,24,SOS,2016,,,,,
2022,5,3466,4,B,2,20,0,NA,NA,2018,,,,,
2022,5,3192,4,C,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,5,3465,4,C,5,22,2,30,SOS,2018,,,,,
