Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,2020notes
2020,7,3405,15,H,1,13.5,0,NA,NA,2020,
2020,7,3409,16,B,1,12.5,0,NA,NA,2020,
2020,7,3446,16,C,3,21.8,0,NA,NA,2018,
2020,7,3407,16,D,2,14.1,0,NA,NA,2020,
2020,7,3408,17,C,1,13.5,0,NA,NA,2020,
2020,7,3176,18,I,1,9.5,0,NA,NA,2019,
2020,9,3639,11,0.09,2,15.8,1,25,3.1,2017,
2020,9,3059,11,0.21,2,13,0,NA,NA,2017,1 leaf ripped off
2020,9,3442,13,0.08,1,23.5,0,NA,NA,2018,
2020,9,3183,13,0.19,2,15.5,0,NA,NA,2017,umbel eaten
2020,9,3143,14,0.95,4,20.1,3,47.8,SOS,2017,
2020,9,3666,17,H,1,16.6,0,NA,NA,2019,
2020,9,3683,17,H,1,18.4,0,NA,NA,2019,
2020,10,3190,1,B,0,NA,NA,NA,NA,2016,no plant
2020,10,3670,4,E,1,17,0,NA,NA,2016,
2020,10,3547,4,F,1,12,0,NA,NA,2016,
2020,10,3378,5,D,1,12.2,0,NA,NA,2017,
2020,10,3353,5,E,NA,NA,NA,NA,NA,2016,npnt
2020,10,3655,6,B,1,13.2,0,NA,NA,2017,
2020,12,3425,2,I,2,10.8,0,NA,NA,2020,
2020,12,3002,3,B,2,13.2,0,NA,NA,2016,
2020,12,3130,3,B,NA,NA,NA,NA,NA,2019,npnt
2020,12,3133,5,C,2,13.8,0,NA,NA,2019,
2020,12,3448,6,F,1,10.8,1,NA,0,2018,umbel eaten
2020,12,3135,7,G,2,10.2,2,14,SOS,2019,
2020,12,3424,7,H,1,10.4,0,NA,NA,2020,
2020,12,3445,10,B,1,7.5,0,NA,NA,2018,
2020,12,3420,10,H,1,5.8,0,NA,NA,2020,
2020,12,3181,11,B,1,5.4,0,NA,NA,2019,
2020,12,3145,11,D,4,12,0,NA,NA,2019,
2020,12,3551,11,H,0,NA,NA,NA,NA,2016,no plant
2020,12,3876,11,H,0,NA,NA,NA,NA,2016,no plant
2020,12,3449,12,B,1,6.3,0,NA,NA,2018,
2020,12,3137,12,G,1,9.7,0,NA,NA,2019,
